scheme,security_model,curve_or_group,devices,repeats,mean_ms,stddev_ms
PPT-CLAMA,80,"secp160r1 / pairing(160,512)",8,20,188.378708,5.429058
PPT-CLAMA,80,"secp160r1 / pairing(160,512)",16,20,371.252454,9.586960
PPT-CLAMA,80,"secp160r1 / pairing(160,512)",32,20,746.437127,8.355666
PPT-CLAMA,80,"secp160r1 / pairing(160,512)",64,20,1517.146204,18.461630
PPT-CLAMA,80,"secp160r1 / pairing(160,512)",128,20,3079.658517,35.692030
BMAE,80,"secp160r1 / pairing(160,512)",8,20,184.165879,2.790443
BMAE,80,"secp160r1 / pairing(160,512)",16,20,368.772511,5.943250
BMAE,80,"secp160r1 / pairing(160,512)",32,20,735.802652,9.065022
BMAE,80,"secp160r1 / pairing(160,512)",64,20,1474.282708,17.244730
BMAE,80,"secp160r1 / pairing(160,512)",128,20,2974.433398,26.661286
Cui-Edge-Batch,80,"secp160r1 / pairing(160,512)",8,20,1960.039571,42.509169
Cui-Edge-Batch,80,"secp160r1 / pairing(160,512)",16,20,3908.899358,50.128929
Cui-Edge-Batch,80,"secp160r1 / pairing(160,512)",32,20,7842.538910,100.775904
Cui-Edge-Batch,80,"secp160r1 / pairing(160,512)",64,20,15930.515806,454.638217
Cui-Edge-Batch,80,"secp160r1 / pairing(160,512)",128,20,32000.674460,478.156439
BAT-CLAMA,80,"secp160r1 / pairing(160,512)",8,20,125.212769,3.396394
BAT-CLAMA,80,"secp160r1 / pairing(160,512)",16,20,248.526731,4.524318
BAT-CLAMA,80,"secp160r1 / pairing(160,512)",32,20,496.665210,8.594471
BAT-CLAMA,80,"secp160r1 / pairing(160,512)",64,20,1004.201669,18.794632
BAT-CLAMA,80,"secp160r1 / pairing(160,512)",128,20,2027.117569,41.042579
Ma-Edge-Update,80,"secp160r1 / pairing(160,512)",8,20,30.631008,0.404570
Ma-Edge-Update,80,"secp160r1 / pairing(160,512)",16,20,61.989054,0.458489
Ma-Edge-Update,80,"secp160r1 / pairing(160,512)",32,20,121.651642,1.339260
Ma-Edge-Update,80,"secp160r1 / pairing(160,512)",64,20,247.942973,1.183547
Ma-Edge-Update,80,"secp160r1 / pairing(160,512)",128,20,492.278823,4.043241
ECroA,80,"secp160r1 / pairing(160,512)",8,20,163.404150,15.813664
ECroA,80,"secp160r1 / pairing(160,512)",16,20,223.960950,19.783592
ECroA,80,"secp160r1 / pairing(160,512)",32,20,370.452350,10.618760
ECroA,80,"secp160r1 / pairing(160,512)",64,20,640.742600,25.520852
ECroA,80,"secp160r1 / pairing(160,512)",128,20,1154.771000,30.382367
Shen-V2G,80,"secp160r1 / pairing(160,512)",8,20,220.022500,17.449406
Shen-V2G,80,"secp160r1 / pairing(160,512)",16,20,398.323800,17.144216
Shen-V2G,80,"secp160r1 / pairing(160,512)",32,20,753.704400,31.598298
Shen-V2G,80,"secp160r1 / pairing(160,512)",64,20,1435.881500,37.845031
Shen-V2G,80,"secp160r1 / pairing(160,512)",128,20,2843.074000,79.517104
PPT-CLAMA,112,"secp224r1 / pairing(224,1024)",8,20,412.356529,8.531521
PPT-CLAMA,112,"secp224r1 / pairing(224,1024)",16,20,807.033987,18.993146
PPT-CLAMA,112,"secp224r1 / pairing(224,1024)",32,20,1615.808869,24.207025
PPT-CLAMA,112,"secp224r1 / pairing(224,1024)",64,20,3245.657285,44.156262
PPT-CLAMA,112,"secp224r1 / pairing(224,1024)",128,20,6565.705831,99.285385
BMAE,112,"secp224r1 / pairing(224,1024)",8,20,397.861640,7.922583
BMAE,112,"secp224r1 / pairing(224,1024)",16,20,797.043879,21.982515
BMAE,112,"secp224r1 / pairing(224,1024)",32,20,1601.536042,29.007389
BMAE,112,"secp224r1 / pairing(224,1024)",64,20,3204.834425,34.248623
BMAE,112,"secp224r1 / pairing(224,1024)",128,20,6443.561419,83.889101
Cui-Edge-Batch,112,"secp224r1 / pairing(224,1024)",8,20,4262.020196,57.835194
Cui-Edge-Batch,112,"secp224r1 / pairing(224,1024)",16,20,8623.039406,117.098082
Cui-Edge-Batch,112,"secp224r1 / pairing(224,1024)",32,20,17290.236033,316.534092
Cui-Edge-Batch,112,"secp224r1 / pairing(224,1024)",64,20,34070.672904,398.850162
Cui-Edge-Batch,112,"secp224r1 / pairing(224,1024)",128,20,68710.169786,511.223068
BAT-CLAMA,112,"secp224r1 / pairing(224,1024)",8,20,263.099010,6.064074
BAT-CLAMA,112,"secp224r1 / pairing(224,1024)",16,20,529.446094,10.209993
BAT-CLAMA,112,"secp224r1 / pairing(224,1024)",32,20,1051.434444,13.514914
BAT-CLAMA,112,"secp224r1 / pairing(224,1024)",64,20,2135.455108,41.729275
BAT-CLAMA,112,"secp224r1 / pairing(224,1024)",128,20,4287.092727,80.474420
Ma-Edge-Update,112,"secp224r1 / pairing(224,1024)",8,20,64.411452,0.629757
Ma-Edge-Update,112,"secp224r1 / pairing(224,1024)",16,20,129.674273,4.705444
Ma-Edge-Update,112,"secp224r1 / pairing(224,1024)",32,20,262.318950,5.162476
Ma-Edge-Update,112,"secp224r1 / pairing(224,1024)",64,20,519.219594,2.512493
Ma-Edge-Update,112,"secp224r1 / pairing(224,1024)",128,20,1043.240015,14.194296
ECroA,112,"secp224r1 / pairing(224,1024)",8,20,333.514800,13.637322
ECroA,112,"secp224r1 / pairing(224,1024)",16,20,751.587400,273.800191
ECroA,112,"secp224r1 / pairing(224,1024)",32,20,1306.971450,23.895854
ECroA,112,"secp224r1 / pairing(224,1024)",64,20,2581.770550,51.143823
ECroA,112,"secp224r1 / pairing(224,1024)",128,20,5123.995850,150.452824
Shen-V2G,112,"secp224r1 / pairing(224,1024)",8,20,934.347950,29.841838
Shen-V2G,112,"secp224r1 / pairing(224,1024)",16,20,1865.668700,69.718693
Shen-V2G,112,"secp224r1 / pairing(224,1024)",32,20,3688.716600,76.938746
Shen-V2G,112,"secp224r1 / pairing(224,1024)",64,20,7303.948550,260.545076
Shen-V2G,112,"secp224r1 / pairing(224,1024)",128,20,14388.617400,478.616821
PPT-CLAMA,128,"secp256r1 / pairing(256,1536)",8,20,538.789281,13.403977
PPT-CLAMA,128,"secp256r1 / pairing(256,1536)",16,20,1082.082275,22.553681
PPT-CLAMA,128,"secp256r1 / pairing(256,1536)",32,20,2241.162115,36.157373
PPT-CLAMA,128,"secp256r1 / pairing(256,1536)",64,20,4481.091746,90.351822
PPT-CLAMA,128,"secp256r1 / pairing(256,1536)",128,20,9112.608129,117.908070
BMAE,128,"secp256r1 / pairing(256,1536)",8,20,551.879698,10.250151
BMAE,128,"secp256r1 / pairing(256,1536)",16,20,1139.986233,151.575607
BMAE,128,"secp256r1 / pairing(256,1536)",32,20,2177.934602,22.875690
BMAE,128,"secp256r1 / pairing(256,1536)",64,20,4374.901948,45.612711
BMAE,128,"secp256r1 / pairing(256,1536)",128,20,8845.629531,85.015096
Cui-Edge-Batch,128,"secp256r1 / pairing(256,1536)",8,20,5849.569854,78.618953
Cui-Edge-Batch,128,"secp256r1 / pairing(256,1536)",16,20,11780.489144,148.703000
Cui-Edge-Batch,128,"secp256r1 / pairing(256,1536)",32,20,23470.001063,221.012554
Cui-Edge-Batch,128,"secp256r1 / pairing(256,1536)",64,20,47196.434667,483.082569
Cui-Edge-Batch,128,"secp256r1 / pairing(256,1536)",128,20,94308.259052,746.900919
BAT-CLAMA,128,"secp256r1 / pairing(256,1536)",8,20,362.192654,11.256718
BAT-CLAMA,128,"secp256r1 / pairing(256,1536)",16,20,723.525940,18.985040
BAT-CLAMA,128,"secp256r1 / pairing(256,1536)",32,20,1427.369581,24.310406
BAT-CLAMA,128,"secp256r1 / pairing(256,1536)",64,20,2899.274754,50.169061
BAT-CLAMA,128,"secp256r1 / pairing(256,1536)",128,20,5900.015286,108.589011
Ma-Edge-Update,128,"secp256r1 / pairing(256,1536)",8,20,89.406565,1.061185
Ma-Edge-Update,128,"secp256r1 / pairing(256,1536)",16,20,178.462862,0.769808
Ma-Edge-Update,128,"secp256r1 / pairing(256,1536)",32,20,365.738733,8.618945
Ma-Edge-Update,128,"secp256r1 / pairing(256,1536)",64,20,711.341356,3.513635
Ma-Edge-Update,128,"secp256r1 / pairing(256,1536)",128,20,1432.475854,11.271768
ECroA,128,"secp256r1 / pairing(256,1536)",8,20,867.628000,32.177336
ECroA,128,"secp256r1 / pairing(256,1536)",16,20,1768.531850,108.078809
ECroA,128,"secp256r1 / pairing(256,1536)",32,20,3581.551200,422.606579
ECroA,128,"secp256r1 / pairing(256,1536)",64,20,6948.429650,303.208532
ECroA,128,"secp256r1 / pairing(256,1536)",128,20,13979.324900,835.823486
Shen-V2G,128,"secp256r1 / pairing(256,1536)",8,20,2650.842600,145.758588
Shen-V2G,128,"secp256r1 / pairing(256,1536)",16,20,5262.429050,270.166049
Shen-V2G,128,"secp256r1 / pairing(256,1536)",32,20,10211.855700,382.064882
Shen-V2G,128,"secp256r1 / pairing(256,1536)",64,20,20552.886400,1018.652899
Shen-V2G,128,"secp256r1 / pairing(256,1536)",128,20,40753.981950,854.275600
